method,path,normalized_path,page,title,sdk_module_guess,src_path_match,test_path_match,src_evidence,test_evidence,audit_status,notes
GET,/v1/shards/stats/{uid},/v1/shards/stats/{},shards/stats,Shards stats requests,,true,false,src/stats.rs,,implemented_no_test_path_evidence,
GET,/v1/shards/stats/last,/v1/shards/stats/last,shards/stats/last,Latest shards stats requests,,true,true,src/stats.rs,tests/stats_tests.rs,implemented_and_tested,
GET,/v1/shards/stats/last/{uid},/v1/shards/stats/last/{},shards/stats/last,Latest shards stats requests,,true,false,src/stats.rs,,implemented_no_test_path_evidence,
GET,/v1/suffix/{name},/v1/suffix/{},suffix,Suffix requests,suffixes,true,false,src/suffixes.rs,,implemented_no_test_path_evidence,
GET,/v1/suffixes,/v1/suffixes,suffixes,Suffixes requests,suffixes,true,true,src/suffixes.rs,tests/suffixes_tests.rs,implemented_and_tested,
GET,/v1/usage_report,/v1/usage_report,usage_report,Usage report requests,usage_report,true,true,src/usage_report.rs,tests/usage_report_tests.rs,implemented_and_tested,
GET,/v1/users,/v1/users,users,Users requests,users,true,true,src/testing/server.rs;src/users.rs,tests/common/fixtures.rs;tests/user_tests.rs,implemented_and_tested,
GET,/v1/users/{uid},/v1/users/{},users,Users requests,users,true,false,src/testing/server.rs;src/users.rs,,implemented_no_test_path_evidence,
PUT,/v1/users/{uid},/v1/users/{},users,Users requests,users,true,false,src/testing/server.rs;src/users.rs,,implemented_no_test_path_evidence,
POST,/v1/users,/v1/users,users,Users requests,users,true,true,src/testing/server.rs;src/users.rs,tests/common/fixtures.rs;tests/user_tests.rs,implemented_and_tested,
DELETE,/v1/users/{uid},/v1/users/{},users,Users requests,users,true,false,src/testing/server.rs;src/users.rs,,implemented_no_test_path_evidence,
POST,/v1/users/authorize,/v1/users/authorize,users/authorize,Authorize user requests,,true,false,src/users.rs,,implemented_no_test_path_evidence,
POST,/v1/users/refresh_jwt,/v1/users/refresh_jwt,users/refresh_jwt,Refresh JWT requests,,true,false,src/users.rs,,implemented_no_test_path_evidence,
