page,title,method,path,description,source,source_type,sdk_module_guess,repo_module_exists,status,notes
bootstrap/validate,Bootstrap validation requests,POST,/v1/bootstrap/validate/{action},Perform bootstrap validation,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/bootstrap/validate/,official_docs,,,unreviewed,
cluster,Cluster requests,GET,/v1/cluster,Get cluster info,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/,official_docs,cluster,true,unreviewed,
cluster,Cluster requests,PUT,/v1/cluster,Update cluster settings,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/,official_docs,cluster,true,unreviewed,
cluster/actions,Cluster actions requests,GET,/v1/cluster/actions,Get the status of all actions,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/actions/,official_docs,,,unreviewed,
cluster/actions,Cluster actions requests,GET,/v1/cluster/actions/{action},Get the status of a specific action,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/actions/,official_docs,,,unreviewed,
cluster/actions,Cluster actions requests,POST,/v1/cluster/actions/{action},Initiate a cluster-wide action,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/actions/,official_docs,,,unreviewed,
cluster/actions,Cluster actions requests,DELETE,/v1/cluster/actions/{action},Cancel action or remove action status,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/actions/,official_docs,,,unreviewed,
cluster/alerts,Cluster alerts requests,GET,/v1/cluster/alerts,Get all cluster alerts,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/alerts/,official_docs,,,unreviewed,
cluster/alerts,Cluster alerts requests,GET,/v1/cluster/alerts/{alert},Get a specific cluster alert,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/alerts/,official_docs,,,unreviewed,
cluster/auditing-db-conns,Auditing database connections requests,GET,/v1/cluster/auditing/db_conns,Get database connection auditing settings,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/auditing-db-conns/,official_docs,,,unreviewed,
cluster/auditing-db-conns,Auditing database connections requests,PUT,/v1/cluster/auditing/db_conns,Update database connection auditing settings,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/auditing-db-conns/,official_docs,,,unreviewed,
cluster/auditing-db-conns,Auditing database connections requests,DELETE,/v1/cluster/auditing/db_conns,Delete database connection auditing settings,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/auditing-db-conns/,official_docs,,,unreviewed,
cluster/certificates,Cluster certificates requests,GET,/v1/cluster/certificates,Get cluster certificates,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/certificates/,official_docs,,,unreviewed,
cluster/certificates,Cluster certificates requests,PUT,/v1/cluster/certificates,Update cluster certificates,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/certificates/,official_docs,,,unreviewed,
cluster/certificates,Cluster certificates requests,PUT,/v1/cluster/update_cert,Update a cluster certificate (deprecated as of Redis Software version 7.22.2),https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/certificates/,official_docs,,,unreviewed,
cluster/certificates,Cluster certificates requests,DELETE,/v1/cluster/certificates/{certificate_name},Delete cluster certificate,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/certificates/,official_docs,,,unreviewed,
cluster/certificates/rotate,Rotate cluster certificates requests,POST,/v1/cluster/certificates/rotate,Regenerate all internal cluster certificates,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/certificates/rotate/,official_docs,,,unreviewed,
cluster/change_password_hashing_algorithm,Change password hashing algorithm requests,PATCH,/v1/cluster/change_password_hashing_algorithm,Change the hashing policy for user passwords,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/change_password_hashing_algorithm/,official_docs,,,unreviewed,
cluster/check,Check all cluster nodes requests,GET,/v1/cluster/check,Runs checks on all cluster nodes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/check/,official_docs,,,unreviewed,
cluster/debuginfo,Cluster debug info requests,GET,/v1/cluster/debuginfo,Get debug info from all nodes and databases,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/debuginfo/,official_docs,,,unreviewed,
cluster/ldap,Cluster LDAP requests,GET,/v1/cluster/ldap,Get LDAP configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/ldap/,official_docs,,,unreviewed,
cluster/ldap,Cluster LDAP requests,PUT,/v1/cluster/ldap,Set/update LDAP configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/ldap/,official_docs,,,unreviewed,
cluster/ldap,Cluster LDAP requests,DELETE,/v1/cluster/ldap,Delete LDAP configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/ldap/,official_docs,,,unreviewed,
cluster/module-capabilities,Cluster module capabilities requests,GET,/v1/cluster/module-capabilities,List possible Redis module capabilities,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/module-capabilities/,official_docs,,,unreviewed,
cluster/policy,Cluster policy requests,GET,/v1/cluster/policy,Get cluster policy settings,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/policy/,official_docs,,,unreviewed,
cluster/policy,Cluster policy requests,PUT,/v1/cluster/policy,Update cluster policy settings,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/policy/,official_docs,,,unreviewed,
cluster/services_configuration,Cluster services configuration requests,GET,/v1/cluster/services_configuration,Get cluster services settings,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/services_configuration/,official_docs,,,unreviewed,
cluster/services_configuration,Cluster services configuration requests,PUT,/v1/cluster/services_configuration,Update cluster services settings,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/services_configuration/,official_docs,,,unreviewed,
cluster/sso,Single sign-on requests,GET,/v1/cluster/sso,Get SSO configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/sso/,official_docs,,,unreviewed,
cluster/sso,Single sign-on requests,PUT,/v1/cluster/sso,Set or update SSO configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/sso/,official_docs,,,unreviewed,
cluster/sso,Single sign-on requests,DELETE,/v1/cluster/sso,Clear SSO configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/sso/,official_docs,,,unreviewed,
cluster/sso,Single sign-on requests,GET,/v1/cluster/sso/saml/metadata/sp,Get SAML service provider metadata,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/sso/,official_docs,,,unreviewed,
cluster/sso,Single sign-on requests,POST,/v1/cluster/sso/saml/metadata/idp,Upload SAML identity provider metadata,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/sso/,official_docs,,,unreviewed,
cluster/stats,Cluster stats requests,GET,/v1/cluster/stats,Get cluster stats,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/stats/,official_docs,,,unreviewed,
cluster/stats/last,Cluster last stats requests,GET,/v1/cluster/stats/last,Get most recent cluster stats,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cluster/stats/last/,official_docs,,,unreviewed,
cm_settings,Cluster Manager settings requests,GET,/v1/cm_settings,Get Cluster Manager UI settings,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cm_settings/,official_docs,cm_settings,true,unreviewed,
cm_settings,Cluster Manager settings requests,PUT,/v1/cm_settings,Update Cluster Manager UI settings,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/cm_settings/,official_docs,cm_settings,true,unreviewed,
crdb_tasks,CRDB tasks requests,GET,/v1/crdb_tasks,Get all running tasks,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/crdb_tasks/,official_docs,crdb_tasks,true,unreviewed,
crdb_tasks,CRDB tasks requests,GET,/v1/crdb_tasks/{task_id},Get the status of an executed task,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/crdb_tasks/,official_docs,crdb_tasks,true,unreviewed,
crdb_tasks,CRDB tasks requests,POST,/v1/crdb_tasks/{task_id}/actions/cancel,Cancel a running or queued task,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/crdb_tasks/,official_docs,crdb_tasks,true,unreviewed,
crdbs,CRDBs requests,GET,/v1/crdbs,Get all Active-Active databases,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/crdbs/,official_docs,crdb,true,unreviewed,
crdbs,CRDBs requests,GET,/v1/crdbs/{crdb_guid},Get a specific Active-Active database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/crdbs/,official_docs,crdb,true,unreviewed,
crdbs,CRDBs requests,PATCH,/v1/crdbs/{crdb_guid},Update an Active-Active database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/crdbs/,official_docs,crdb,true,unreviewed,
crdbs,CRDBs requests,POST,/v1/crdbs,Create a new Active-Active database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/crdbs/,official_docs,crdb,true,unreviewed,
crdbs,CRDBs requests,DELETE,/v1/crdbs/{crdb_guid},Delete an Active-Active database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/crdbs/,official_docs,crdb,true,unreviewed,
crdbs/flush,CRDB flush requests,PUT,/v1/crdbs/{crdb_guid}/flush,Flush an Active-Active database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/crdbs/flush/,official_docs,,,unreviewed,
crdbs/health_report,CRDB health report requests,GET,/v1/crdbs/{crdb_guid}/health_report,Get a health report for an Active-Active database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/crdbs/health_report/,official_docs,,,unreviewed,
crdbs/purge,CRDB purge requests,PUT,/v1/crdbs/{crdb_guid}/purge,Purge data from an instance that was forcibly removed from the Active-Active database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/crdbs/purge/,official_docs,,,unreviewed,
crdbs/updates,CRDB updates requests,POST,/v1/crdbs/{crdb_guid}/updates,Modify Active-Active configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/crdbs/updates/,official_docs,,,unreviewed,
crdbs/upgrade,CRDB upgrade requests,POST,/v1/crdbs/{crdb_guid}/upgrade,Upgrade an Active-Active database,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/crdbs/upgrade/,official_docs,crdb,true,unreviewed,
